A12		Spare		B12		Spare		C12		Spare		D12	J2-16, J9-8	In	800 CPS 28V 5 PCT PHASE A	F12	J2-14, J13-13, J9-2	In	800 CPS 28V 5 PCT COMMON	G12	J13-15, J9-10	In	800 CPS 28V 5 PCT PHASE B	H12	J19-H11, J19-H13	In	800 CPS 28V 1 PCT HI	K12	J19-K11, J19-K13	In	800 CPS 28V 1 PCT LO
A13		Spare		B13		Spare		C13		Spare		D13	J2-16	In	800 CPS 28V 5 PCT PHASE A	F13	J2-14, J13-13	In	800 CPS 28V 5 PCT COMMON	G13	J13-15	In	800 CPS 28V 5 PCT PHASE B	H13	J19-H12, J19-H14	In	800 CPS 28V 1 PCT HI	K13	J19-K12, J19-K14	In	800 CPS 28V 1 PCT LO
A14	J12-5, J12-6, J10-13	In	3200 CPS 28V 1 PCT HI	B14	J12-7, J12-8, J10-8	In	3200 CPS 28V 1 PCT LO	C14		Spare		D14	J2-15, J13-9	In	800 CPS 28V 5 PCT PHASE A	F14	J2-13, J13-14, J19-F15	In	800 CPS 28V 5 PCT COMMON	G14	J17-3, J13-16	In	800 CPS 28V 5 PCT PHASE B	H14	J1-13, J19-H13, J19-H15	In	800 CPS 28V 1 PCT HI	K14	J1-14, J19-K13, J19-K15	In	800 CPS 28V 1 PCT LO
A15		Spare		B15		Spare		C15		Spare		D15	J2-10	In	800 CPS 28V 5 PCT PHASE A TP	F15	J19-F14	In	800 CPS 28V 5 PCT COMMON	G15	J13-10	In	800 CPS 28V 5 PCT PHASE B TP	H15	J19-H14	In	800 CPS 28V 1 PCT HI	K15	J19-K14	In	800 CPS 28V 1 PCT LO
				B16		Spare		C16		Spare		D16		Spare		F16		Spare		G16	J19-K8	Out	+28 VDC IMU OPERATE	H16	J19-H17, J17-21	Out	IMU CAGE COMMAND				
				B17	J10-26	Out	COARSE ALIGN COMMAND	C17		Spare		D17		Spare		F17		Spare		G17		Spare		H17	J19-H16	Out	IMU CAGE COMMAND				
				B18		Spare		C18		Spare		D18		Spare		F18		Spare		G18	J19-G19, J17-12	Out	TEMPERATURE WITHIN LIMITS	H18	J17-13	In	TEMPERATURE OUT OF LIMITS				
				B19		Spare		C19		Spare		D19		Spare		F19		Spare		G19	J19-G18	Out	TEMPERATURE WITHIN LIMITS	H19		Spare					
				B20		Spare		C20		Spare		D20		Spare		F20		Spare		G20	J17-20	In	ISS TURN ON REQUEST	H20	J17-24	Out	ISS TURN ON DELAY COMPLETE				
A21	J10-45	In	CAGE OVERRIDE TO CDU	B21	J10-49	Out	CDU COMMON	C21		Spare		D21		Spare		F21		Spare		G21	J11-1	Chassis	STRUCTURE GROUND	H21	J11-16	Out	3.2 KPPS HI	K21	J11-17	Out	3.2 KPPS LO
A22	J17-6	In	IMU FAIL	B22		Spare		C22		Spare		D22		Spare		F22		Spare		G22	J11-1	Chassis	STRUCTURE GROUND	H22	J11-14	Out	3.2 KPPS RESET HI	K22	J11-15	Out	3.2 KPPS RESET LO
A23	R1-2	In	800 CPS POWER SUPPLY TEMPERATURE LO	B23	R1-1	In	800 CPS POWER SUPPLY TEMPERATURE HI	C23		Spare		D23		Spare		F23		Spare		G23	J14-1	Chassis	STRUCTURE GROUND	H23	J14-2	Out	25.6 KPPS POWER SUPPLY SYNC HI	K23	J14-3	Out	25.6 KPPS POWER SUPPLY SYNC LO
A24	J11-2, J19-B24	Out	3200 CPS FEEDBACK HI	B24	J17-26, J19-A24	Out	3200 CPS FEEDBACK HI	C24		Spare		D24		Spare		F24		Spare		G24	J3-1	Chassis	STRUCTURE GROUND	H24	J3-6	Out	800 PPS SET HI	K24	J3-5	Out	800 PPS SET LO
A25	J11-3, J19-B25	Out	3200 CPS FEEDBACK LO	B25	J19-A25	Out	3200 CPS FEEDBACK LO	C25		Spare		D25		Spare		F25		Spare		G25	J3-1	Chassis	STRUCTURE GROUND	H25	J3-7	Out	800 PPS RESET HI	K25	J3-4	Out	800 PPS RESET LO
A26	J8-12	In	IG TORQUE MOTOR HI	B26	J8-8	In	IG TORQUE MOTOR LO	C26		Spare		D26		Spare		F26		Spare		G26		Spare		H26		Spare		K26		Spare	
A27	J8-11	In	IG TORQUE MOTOR VOLTAGE MONITOR	B27	J8-7	In	IG TORQUE MOTOR CURRENT MONITOR	C27		Spare		D27		Spare		F27		Spare		G27		Spare		H27		Spare		K27		Spare	
A28	J7-12	In	MG TORQUE MOTOR HI	B28	J7-8	In	MG TORQUE MOTOR LO	C28		Spare		D28		Spare		F28		Spare		G28	J7-9	Out	0 VDC IMU	H28	J19-K28	Out	0 VDC IMU	K28	J19-H28, E7-2	Out	0 VDC IMU
A29	J7-11	In	MG TORQUE MOTOR VOLTAGE MONITOR	B29	J7-7	In	MG TORQUE MOTOR CURRENT MONITOR	C29		Spare		D29		Spare		F29		Spare		G29	J8-16	Out	IG SERVO AMP TEST INPUT	H29	J8-23	In	IG ERROR MONITOR	K29	J10-36	Out	IG ERROR
A30	J6-12	In	OG TORQUE MOTOR HI	B30	J6-8	In	OG TORQUE MOTOR LO	C30		Spare		D30		Spare		F30		Spare		G30	J7-16	Out	MG SERVO AMP TEST INPUT	H30	J7-23	In	MG ERROR MONITOR	K30	J17-9	Out	MG ERROR
A31	J6-11	In	OG TORQUE MOTOR VOLTAGE MONITOR	B31	J6-7	In	OG TORQUE MOTOR CURRENT MONITOR	C31		Spare		D31		Spare		F31		Spare		G31	J6-16	Out	OG SERVO AMP TEST INPUT	H31	J6-23	In	OG ERROR MONITOR	K31	J17-8	Out	OG ERROR
A32		Spare		B32		Spare		C32		Spare		D32		Spare		F32		Spare		G32		Spare		H32		Spare		K32		Spare	
A33		Spare		B33	E7-3	Out	0 VDC IMU	C33	E7-1	Out	0 VDC IMU	D33	E6-3	Out	0 VDC IMU	F33	E6-1	Out	0 VDC IMU	G33	E5-3	Out	0 VDC IMU	H33	E5-1	Out	0 VDC IMU	K33		Spare	
				B34	E7-3	Out	0 VDC IMU	C34	E7-1	Out	0 VDC IMU	D34	E6-3	Out	0 VDC IMU	F34	E6-1	Out	0 VDC IMU	G34	E5-3	Out	0 VDC IMU	H34	E5-1	Out	0 VDC IMU				
				B35	J10-50	Out	IG IMU CAGE HI	C35	J10-29	Out	IG C/A HI	D35	J10-20	Out	MG IMU CAGE HI	F35	J10-19	Out	MG C/A HI	G35	J10-16	Out	OG IMU CAGE HI	H35	J10-15	Out	OG C/A HI				
